ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_PRODUTO,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
99,0,372481,59497,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372526,59555,20,4,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372527,59555,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372536,59592,26,5,8,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372537,59479,79,15,26,18,12,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372539,59479,25,5,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372540,59479,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372541,59479,18,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372557,59499,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372558,59499,17,3,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372666,59574,28,5,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372669,59474,23,4,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372697,59500,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372698,59500,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372699,59500,16,3,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372704,59594,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372706,59594,15,3,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372707,59594,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372714,59612,34,7,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372715,59612,33,6,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372716,59612,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372717,59612,26,5,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372718,59612,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372719,59612,28,5,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372752,55453,12,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372754,55454,30,6,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372755,55453,13,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372756,55453,41,8,13,10,6,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372831,59481,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372920,07448,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372922,07448,43,9,16,9,6,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372923,07448,22,5,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372927,07742,38,8,15,8,5,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372928,07448,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372931,07742,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372932,05052,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372936,07448,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372938,07448,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372981,59498,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372988,59534,13,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372989,59534,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373022,59500,29,6,11,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373028,59504,55,11,21,12,7,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373053,59564,104,19,35,23,16,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373054,60045,12,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373056,59564,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373078,59567,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373079,59567,24,5,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
