PRODUTO,COR_PRODUTO,ID_CAMPANHA,DT_EXCLUSAO,motivo
375272      ,05024     ,54,,FORA_DA_PLANILHA
375276      ,8391      ,54,,FORA_DA_PLANILHA
375281      ,07488     ,54,,FORA_DA_PLANILHA
375354      ,0024      ,54,,FORA_DA_PLANILHA
375360      ,0024      ,54,,FORA_DA_PLANILHA
375361      ,0013      ,54,,FORA_DA_PLANILHA
375364      ,0013      ,54,,FORA_DA_PLANILHA
375364      ,07742     ,54,,FORA_DA_PLANILHA
375399      ,0105      ,54,,FORA_DA_PLANILHA
375402      ,0101      ,54,,FORA_DA_PLANILHA
375403      ,0105      ,54,,FORA_DA_PLANILHA
375404      ,0101      ,54,,FORA_DA_PLANILHA
375467      ,07448     ,54,,FORA_DA_PLANILHA
375469      ,0013      ,54,,FORA_DA_PLANILHA
375470      ,0013      ,54,,FORA_DA_PLANILHA
375471      ,07722     ,54,,FORA_DA_PLANILHA
375473      ,0013      ,54,,FORA_DA_PLANILHA
375473      ,07546     ,54,,FORA_DA_PLANILHA
375477      ,10047     ,54,,FORA_DA_PLANILHA
375478      ,07546     ,54,,FORA_DA_PLANILHA
375524      ,0105      ,54,,FORA_DA_PLANILHA
375537      ,60577     ,54,,FORA_DA_PLANILHA
375540      ,60573     ,54,,FORA_DA_PLANILHA
375543      ,60571     ,54,,FORA_DA_PLANILHA
375546      ,60728     ,54,,FORA_DA_PLANILHA
375568      ,0109      ,54,,FORA_DA_PLANILHA
375589      ,07448     ,54,,FORA_DA_PLANILHA
375653      ,07448     ,54,,FORA_DA_PLANILHA
375654      ,07448     ,54,,FORA_DA_PLANILHA
375656      ,07448     ,54,,FORA_DA_PLANILHA
375702      ,60556     ,54,,FORA_DA_PLANILHA
375703      ,59490     ,54,,FORA_DA_PLANILHA
375704      ,59490     ,54,,FORA_DA_PLANILHA
375705      ,60556     ,54,,FORA_DA_PLANILHA
375706      ,59530     ,54,,FORA_DA_PLANILHA
375750      ,59490     ,54,,FORA_DA_PLANILHA
375752      ,59505     ,54,,FORA_DA_PLANILHA
375753      ,59505     ,54,,FORA_DA_PLANILHA
375755      ,59518     ,54,,FORA_DA_PLANILHA
375758      ,59513     ,54,,FORA_DA_PLANILHA
375759      ,59584     ,54,,FORA_DA_PLANILHA
375782      ,59552     ,54,,FORA_DA_PLANILHA
375798      ,59536     ,54,,FORA_DA_PLANILHA
375801      ,60935     ,54,,FORA_DA_PLANILHA
375802      ,60934     ,54,,FORA_DA_PLANILHA
375806      ,59480     ,54,,FORA_DA_PLANILHA
375822      ,59552     ,54,,FORA_DA_PLANILHA
375851      ,0101      ,54,,FORA_DA_PLANILHA
376093      ,60556     ,54,,FORA_DA_PLANILHA
376105      ,59614     ,54,,FORA_DA_PLANILHA
376110      ,59522     ,54,,FORA_DA_PLANILHA
376116      ,59552     ,54,,FORA_DA_PLANILHA
376236      ,0013      ,54,,FORA_DA_PLANILHA
376348      ,59509     ,54,,FORA_DA_PLANILHA
376353      ,61078     ,54,,FORA_DA_PLANILHA
376579      ,2276      ,54,,FORA_DA_PLANILHA
376580      ,2276      ,54,,FORA_DA_PLANILHA
376638      ,07488     ,54,,FORA_DA_PLANILHA
376770      ,07448     ,54,,FORA_DA_PLANILHA
378106      ,0105      ,54,,FORA_DA_PLANILHA
378107      ,0101      ,54,,FORA_DA_PLANILHA
378109      ,0003      ,54,,FORA_DA_PLANILHA
378110      ,59592     ,54,,FORA_DA_PLANILHA
378112      ,0109      ,54,,FORA_DA_PLANILHA
