produto,cor,id_campanha,motivo
375677,60556,99,ERRO_INTEGRACAO
375699,59547,99,ERRO_INTEGRACAO
375711,59557,99,ERRO_INTEGRACAO
375712,59533,99,ERRO_INTEGRACAO
375728,59534,99,ERRO_INTEGRACAO
375729,59459,99,ERRO_INTEGRACAO
375731,59558,99,ERRO_INTEGRACAO
375736,59548,99,ERRO_INTEGRACAO
375738,59476,99,ERRO_INTEGRACAO
375742,59497,99,ERRO_INTEGRACAO
375747,55390,99,ERRO_INTEGRACAO
375749,59612,99,ERRO_INTEGRACAO
375838,59599,99,ERRO_INTEGRACAO
375851,0101,99,ERRO_INTEGRACAO
376106,59608,99,ERRO_INTEGRACAO
376128,59473,99,ERRO_INTEGRACAO
376236,0013,99,ERRO_INTEGRACAO
376236,07448,99,ERRO_INTEGRACAO
376635,07448,99,ERRO_INTEGRACAO
376637,10071,99,ERRO_INTEGRACAO
378010,59559,99,ERRO_INTEGRACAO
378106,0105,99,ERRO_INTEGRACAO
378109,0003,99,ERRO_INTEGRACAO
378112,0109,99,ERRO_INTEGRACAO
378122,55452,99,ERRO_INTEGRACAO
378143,59533,99,ERRO_INTEGRACAO
378169,59566,99,ERRO_INTEGRACAO
378170,59566,99,ERRO_INTEGRACAO
378364,05024,99,ERRO_INTEGRACAO
378364,07448,99,ERRO_INTEGRACAO
378400,07742,99,ERRO_INTEGRACAO
378401,07742,99,ERRO_INTEGRACAO
378917,02542,99,ERRO_INTEGRACAO
378930,2276,99,ERRO_INTEGRACAO
378962,0026,99,ERRO_INTEGRACAO
379024,0101,99,ERRO_INTEGRACAO
379040,0101,99,ERRO_INTEGRACAO
379122,59479,99,ERRO_INTEGRACAO
379139,59600,99,ERRO_INTEGRACAO
379160,04338,99,ERRO_INTEGRACAO
379278,07448,99,ERRO_INTEGRACAO
379280,59494,99,ERRO_INTEGRACAO
379282,59460,99,ERRO_INTEGRACAO
379318,07546,99,ERRO_INTEGRACAO
379330,59489,99,ERRO_INTEGRACAO
379331,07722,99,ERRO_INTEGRACAO
379332,07742,99,ERRO_INTEGRACAO
379335,07448,99,ERRO_INTEGRACAO
379337,0206,99,ERRO_INTEGRACAO
379361,0011,99,ERRO_INTEGRACAO
379361,0024,99,ERRO_INTEGRACAO
379362,0011,99,ERRO_INTEGRACAO
379362,0024,99,ERRO_INTEGRACAO
379368,59592,99,ERRO_INTEGRACAO
379371,59503,99,ERRO_INTEGRACAO
379435,59557,99,ERRO_INTEGRACAO
379439,59474,99,ERRO_INTEGRACAO
379884,59611,99,ERRO_INTEGRACAO
379893,59614,99,ERRO_INTEGRACAO
379918,59473,99,ERRO_INTEGRACAO
379921,59555,99,ERRO_INTEGRACAO
379948,59564,99,ERRO_INTEGRACAO
380001,61672,99,ERRO_INTEGRACAO
380002,61672,99,ERRO_INTEGRACAO
380045,59612,99,ERRO_INTEGRACAO
380102,07448,99,ERRO_INTEGRACAO
380102,07742,99,ERRO_INTEGRACAO
380117,2276,99,ERRO_INTEGRACAO
385659,07448,99,ERRO_INTEGRACAO
